Resource_Code,DeployedFromStation_Name,DeployedFromLocation,PlusCode_Code,PlusCode_Description
H212,Clapham,Home Station,Initial,Initial Mobilisation
A341,Edmonton,Other Station,rca,Running call
G232,Hillingdon,,add,Addition to first attendance
A311,Holloway,,,
A312,Kentish Town,,,
A432,East Greenwich,,,
A431,Heston,,,
E231,Clerkenwell,,,
G381,Euston,,,
G382,Peckham,,,
A271,Feltham,,,
A231,Homerton,,,
E372,Dowgate,,,
G392,Enfield,,,
F282,Beckenham,,,
A281,Mitcham,,,
A352,North Kensington,,,
E431,Paddington,,,
H361,Soho,,,
G272,Plumstead,,,
A212,Plaistow,,,
A242,East Ham,,,
E252,Old Kent Road,,,
E251,Southwark,,,
F452,Brixton,,,
F441,Tooting,,,
E352,Hainault,,,
E331,Poplar,,,
H211,West Norwood,,,
H242,Leyton,,,
H352,Walthamstow,,,
F371,Greenwich,,,
F222,Islington,,,
H251,Croydon,,,
H252,Norbury,,,
F291,Kingston,,,
F292,Barnet,,,
F361,Deptford,,,
E221,Hornsey,,,
A301,Bexley,,,
H312,New Malden,,,
H322,West Hampstead,,,
H412,Eltham,,,
A371,Lee Green,,,
A211,Sidcup,,,
G362,Dagenham,,,
E361,Stratford,,,
A322,Bethnal Green,,,
E281,Southgate,,,
H401,Addington,,,
A411,Hendon,,,
E301,Ilford,,,
E291,Hayes,,,
E401,Stanmore,,,
H411,Wembley,,,
H241,Kensington,,,
F412,Battersea,,,
F211,Wandsworth,,,
F212,Chiswick,,,
F261,Stoke Newington,,,
A361,Purley,,,
H262,Twickenham,,,
A401,Tottenham,,,
F422,Hammersmith,,,
F421,Barking,,,
E222,Belsize,,,
G402,Woolwich,,,
G221,Erith,,,
G302,Lambeth,,,
G301,New Cross,,,
G271,Romford,,,
G331,Ruislip,,,
H271,Shoreditch,,,
H331,Ealing,,,
G371,Mill Hill,,,
F321,Heathrow,,,
F322,Woodford,,,
F281,Surbiton,,,
H291,Northolt,,,
H431,Woodside,,,
A331,Dockhead,,,
A332,Southall,,,
F432,Bromley,,,
F431,Orpington,,,
A421,Park Royal,,,
A351,Hornchurch,,,
E241,Wimbledon,,,
E272,Leytonstone,,,
E271,Forest Hill,,,
H222,Willesden,,,
F451,Whitechapel,,,
E381,Sutton,,,
F382,Harrow,,,
G321,Wallington,,,
F242,Chelsea,,,
G252,Millwall,,,
G251,Fulham,,,
A381,Richmond,,,
G561,Finchley,,,
G361,Acton,,,
F351,Lewisham,,,
A342,Silvertown,,,
H391,Knightsbridge,,,
H332,Westminster,,,
G312,Shadwell,,,
H281,Chingford,,,
E341,Wennington,,,
H311,Kingsland,,,
F241,Bow,,,
E371,Downham,,,
G242,Biggin Hill,,,
G241,Grays,,,
H221,Harold Hill,,,
G391,Epsom,,,
E391,Cheshunt,,,
E392,Godstone,,,
A241,,,,
F381,Dartford,,,
A412,Esher,,,
E411,,,,
G291,,,,
F391,,,,
F301,,,,
E311,,,,
E312,,,,
G281,,,,
G282,,,,
F331,,,,
F332,,,,
H381,,,,
G311,,,,
H321,,,,
G211,,,,
H371,,,,
G341,,,,
F231,,,,
E351,,,,
G351,,,,
H421,,,,
A392,,,,
A391,,,,
H382,,,,
G261,,,,
A321,,,,
G342,,,,
E211,,,,
F461,,,,
F221,,,,
F411,,,,
A302,,,,
A261,,,,
A251,,,,
F251,,,,
F302,,,,
F342,,,,
F401,,,,
H341,,,,
G231,,,,
F312,,,,
G401,,,,
F272,,,,
F311,,,,
F341,,,,
E321,,,,
H351,,,,
F271,,,,
E421,,,,
H261,,,,
E402,,,,
F571,,,,
F362,,,,
OV51,,,,
OV01,,,,
H432,,,,
E232,,,,
A402,,,,
E412,,,,
G222,,,,
C121,,,,
C81,,,,
C101,,,,
C92,,,,
C82,,,,
C11,,,,
C42,,,,
C72,,,,
C52,,,,

